,IBIZA,jimmyjou2006,Kazmier,EQUP,jyekid,firemm444,kutkin,jack19931993,max96998,providence,wpd,jtch,dwiee,stocktonty,CW4,samsam80821,shellback,heavensun,njunju,takechance,kuchibu,Leaflock,kaede0711,cross980115,yiersan,roger2623900,MoDoHiYaKu,HSKAO,semicoma,o0991758566,Aggro,CMPunk,ooxxman,vvnbear,swingingbear,ken720331,paul5566,Lenyog,monmo,KKyosuke,shwkz,iamaq18c,nkfcc,mhkt,AlwaySmile,oops66,pornstar,lon0623,teruhyde12,Blazeleo819
不支持Anthony Bennett ,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,True,False
不支持Anthony Davis,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持CP3,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Capela,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Carmelo Anthony,True,True,False,True,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True
不支持Dwight Howard,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True
不支持Giannis,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True
不支持James Harden,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,True,True
不支持Kawhi Leonard,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False
不支持Kevin Durant,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,False,False
不支持Kobe Bryant,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Lebron James,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False
不支持Lillard,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Michael Jordan,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True
不支持Paul George,True,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
不支持Russell Westbrook,True,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,False,True
不支持Shaq,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Smart,True,False,False,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
不支持Stephen Curry,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True
不支持Zion Williamson,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,False,False
不支持公鹿,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
不支持其他,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
