代碼,學校名稱,公私立別,縣市名稱,地址,電話,網址,備註
311401,私立育達家商,私立,[31]臺北市,[105]臺北市松山區美仁里寧安街12號,(02)25706767,http://www.yudah.tp.edu.tw,
313301,市立西松高中,公立,[31]臺北市,[105]臺北市松山區鵬程里健康路325巷7號,(02)25286618,http://www.hssh.tp.edu.tw,
313302,市立中崙高中,公立,[31]臺北市,[105]臺北市松山區八德路四段101號,(02)27535316,http://www.zlsh.tp.edu.tw/,
321399,臺北市私立協和祐德高級中學,私立,[32]臺北市,[110]臺北市信義區忠孝東路5段790巷27號,(02)27263131,http://www.hhvs.tp.edu.tw/,
323301,市立松山高中,公立,[32]臺北市,[110]臺北市信義區基隆路一段156號,(02)27535968,http://www.sssh.tp.edu.tw,
323302,市立永春高中,公立,[32]臺北市,[110]臺北市信義區松隆里松山路654號,(02)27272983,http://www.ycsh.tp.edu.tw,
323401,市立松山家商,公立,[32]臺北市,[110]臺北市信義區松山路655號,(02)27261118,http://www.ssvs.tp.edu.tw,
323402,市立松山工農,公立,[32]臺北市,[110]臺北市信義區忠孝東路5段236巷15號,(02)27226616,http://www.saihs.edu.tw,
330301,國立師大附中,公立,[33]臺北市,[106]臺北市大安區和安里信義路3段143號,(02)27075215,http://www.hs.ntnu.edu.tw,
331301,私立延平中學,私立,[33]臺北市,[106]臺北市大安區和安里建國南路1段275號,(02)27071478,http://www.yphs.tp.edu.tw,
331302,私立金甌女中,私立,[33]臺北市,[106]臺北市大安區光明里杭州南路2段1號,(02)23214765,http://www.cogsh.tp.edu.tw,
331304,私立復興實驗高中,私立,[33]臺北市,[106]臺北市大安區敦化南路1段262 號,(02)27715859,http://www.fhjh.tp.edu.tw,
331402,私立東方工商,私立,[33]臺北市,[106]臺北市大安區信義路四段186巷8號,(02)27554616,http://www.tfvs.tp.edu.tw,
331403,私立喬治工商,私立,[33]臺北市,[106]臺北市大安區基隆路2段172號,(02)27386515,http://www.gvs.tp.edu.tw,
331404,私立開平餐飲,私立,[33]臺北市,[106]臺北市大安區復興南路2段148巷24號,(02)27556939,http://www.kpvs.tp.edu.tw,
333301,市立和平高中,公立,[33]臺北市,[106]臺北市大安區芳和里臥龍街100號,(02)27324300,http://www.hpsh.tp.edu.tw,
333401,市立大安高工,公立,[33]臺北市,[106]臺北市大安區龍圖里復興南路2段52號,(02)27091630,http://www.taivs.tp.edu.tw,
