鄉鎮市區,土地移轉總面積平方公尺,建物移轉總面積平方公尺,單價每平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位移轉總面積平方公尺,車位總價元,屋齡,建築完成年,交易年,總價元,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
大同區,6.34,55.19,233738,1,1,1,0,0,23,83,104,1290,0,0,0,0,0,0,0,1,0,0,0,0
內湖區,4.96,38.79,110853,1,1,1,0,0,21,85,105,430,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,13.72,149.24,160815,3,2,2,12.96,0,9,97,105,2400,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,22.45,136.2,149046,3,2,1,34.6,0,9,97,105,2030,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,33.51,242.78,197216,5,2,2,51.07,0,13,93,105,4788,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,15.12,47.74,257227,2,2,2,0,0,14,92,105,1228,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,27.44,115.29,119698,4,2,2,0,0,33,73,105,1380,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,16.9,133.73,160772,3,1,2,0,0,9,97,105,2150,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,23.43,142.73,167309,2,1,2,37.71,0,12,94,105,2388,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,28.03,170.77,161035,3,1,2,38,0,19,87,105,2750,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,31.4,167.03,220220,2,2,1,47.15,1800000,2,104,105,2820,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,17.71,69.59,186808,1,1,1,0,0,14,92,105,1300,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,24.22,101.13,129536,3,2,2,0,0,34,72,105,1310,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,21.46,94.37,206633,2,2,2,0,0,17,89,105,1950,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,23.14,82.78,109688,4,2,2,0,0,33,73,105,908,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,11.17,130.76,203273,7,0,5,0,0,28,78,105,2658,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,33.48,201.68,208846,3,2,2,26.37,0,3,103,105,4212,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,33.48,201.68,212614,3,2,2,26.37,0,3,103,105,4288,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,21.07,65.52,175519,3,2,1,0,0,31,75,105,1150,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,23.75,100.27,126259,3,2,2,0,0,35,71,105,1266,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,14.08,60.21,205946,1,2,1,0,0,18,88,105,1240,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,37.59,118.44,106881,4,2,2,0,0,30,76,105,1266,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,79.35,360.44,132477,0,0,0,66.32,0,5,101,105,4775,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,149.14,652.14,135784,0,0,0,99.48,0,5,101,105,8855,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,33.22,177.9,137718,3,1,1,0,0,32,74,105,2450,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,29.55,80.99,151253,3,1,1,0,0,39,67,105,1225,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,49.24,129.81,113088,2,2,2,0,0,20,86,105,1468,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,14.87,43.1,174014,2,1,1,0,0,20,86,105,750,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,4.86,48.77,187615,1,1,1,0,0,10,96,105,915,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,24.86,86.77,167108,7,0,7,0,0,36,70,105,1450,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,15.87,91.15,202962,3,2,1,0,0,34,72,105,1850,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,31.04,98.43,139693,3,2,2,0,0,36,70,105,1375,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,35.9,125.88,158881,4,2,2,0,0,33,73,105,2000,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,30.07,112.18,95204,3,2,2,0,0,32,74,105,1068,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,21.14,282.9,184925,3,2,2,69.3,3800000,2,104,105,4330,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,31.86,242.97,121826,4,2,2,41.58,0,19,87,105,2960,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,29.06,103.34,127734,2,2,1,0,0,34,72,105,1320,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,28.34,184.14,111328,2,1,2,0,0,37,69,105,2050,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,24.3,83.94,132237,3,2,1,0,0,37,69,105,1110,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,41.08,132.25,140351,4,2,2,30.35,0,24,82,105,1856,0,0,0,1,0,0,0,0,0,0,0,0
文山區,33.4,91.57,91515,5,2,2,0,0,38,68,105,838,0,0,0,0,0,0,0,0,0,1,0,0
